Address,Price,Links,Dates,Details
"8604 Rogers Way Unit B, Arvada, CO 80007","$740,000 ",https://www.zillow.com/homedetails/8604-Rogers-Way-APT-B-Arvada-CO-80007/121928975_zpid/,3D Tour From 2023-08-23,"2 bds3 ba2,956 sqft"
"11454 W 76th Place, Arvada, CO 80005","$750,000 ",https://www.zillow.com/homedetails/11454-W-76th-Pl-Arvada-CO-80005/13700512_zpid/,On market Aug 25 From 2023-08-23,"4 bds3 ba3,422 sqft"
"5606 Balsam Street, Arvada, CO 80002","$700,000 ",https://www.zillow.com/homedetails/5606-Balsam-St-Arvada-CO-80002/13727742_zpid/,On market Aug 24 From 2023-08-23,"2 bds2 ba1,462 sqft"
,,,,
"Anika Plan, Haskins Station","$773,950+",https://www.zillow.com/community/haskins-station/2065695631_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"2 bds2 ba1,840 sqft"
"Avalon Plan, Haskins Station","$788,950+",https://www.zillow.com/community/haskins-station/2065695632_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"2 bds2 ba1,930 sqft"
"Hopewell Plan, Haskins Station","$813,950+",https://www.zillow.com/community/haskins-station/2065695633_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba2,680 sqft"
"Arlington Plan, Haskins Station","$783,950+",https://www.zillow.com/community/haskins-station/2065695635_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds2 ba1,973 sqft"
"Skylar Plan, Haskins Station","$803,950+",https://www.zillow.com/community/haskins-station/2065697856_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba2,620 sqft"
"Coronado Plan, Haskins Station","$818,950+",https://www.zillow.com/community/haskins-station/2065697857_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba2,743 sqft"
"5346 Quail Way, Arvada, CO 80002","$699,950 ",https://www.zillow.com/homedetails/5346-Quail-Way-Arvada-CO-80002/334526987_zpid/,23 hours ago From 2023-08-23,"3 bds3 ba1,840 sqft"
"8978 W 77th Place, Arvada, CO 80005","$547,000 ",https://www.zillow.com/homedetails/8978-W-77th-Pl-Arvada-CO-80005/13701285_zpid/,23 hours ago From 2023-08-23,"4 bds2 ba1,778 sqft"
"6775 W 84th Circle Unit 75, Arvada, CO 80003","$450,000 ",https://www.zillow.com/homedetails/6775-W-84th-Cir-UNIT-75-Arvada-CO-80003/13694423_zpid/,Open: Wed. 8am-7:30pm From 2023-08-23,"3 bds3 ba1,364 sqft"
"6077 Independence Street, Arvada, CO 80004","$620,000 ",https://www.zillow.com/homedetails/6077-Independence-St-Arvada-CO-80004/13725875_zpid/,On market Aug 29 From 2023-08-23,"5 bds3 ba2,292 sqft"
"6742 Flower Street, Arvada, CO 80004","$605,000 ",https://www.zillow.com/homedetails/6742-Flower-St-Arvada-CO-80004/13716739_zpid/,On market Aug 25 From 2023-08-23,"3 bds2 ba1,798 sqft"
"8213 Simms Court, Arvada, CO 80005","$879,900 ",https://www.zillow.com/homedetails/8213-Simms-Ct-Arvada-CO-80005/13698728_zpid/,Open: Sat. 12-2pm From 2023-08-23,"5 bds4 ba4,312 sqft"
"11544 W 76th Place, Arvada, CO 80005","$829,222 ",https://www.zillow.com/homedetails/11544-W-76th-Pl-Arvada-CO-80005/13700508_zpid/,On market Aug 24 From 2023-08-23,"4 bds3 ba3,240 sqft"
"Soho Plan, Cityscape at Haskins Station","$593,950+",https://www.zillow.com/community/cityscape-at-haskins-station/2065695637_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"2 bds3 ba1,840 sqft"
"5256 Estes Circle, Arvada, CO 80002","$430,000 ",https://www.zillow.com/homedetails/5256-Estes-Cir-Arvada-CO-80002/13730177_zpid/,On market Aug 28 From 2023-08-23,2 bds1 ba979 sqft
"5225 Balsam Street Unit 5, Arvada, CO 80002","$205,000 ",https://www.zillow.com/homedetails/5225-Balsam-St-APT-5-Arvada-CO-80002/13729690_zpid/,2 days on Zillow From 2023-08-23,2 bds1 ba762 sqft
"11146 W 62nd Avenue, Arvada, CO 80004","$680,000 ",https://www.zillow.com/homedetails/11146-W-62nd-Ave-Arvada-CO-80004/13724359_zpid/,2 days on Zillow From 2023-08-23,"5 bds3 ba2,588 sqft"
"Devoe Plan, Cityscape at Haskins Station","$609,950+",https://www.zillow.com/community/cityscape-at-haskins-station/2065695636_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"2 bds3 ba1,930 sqft"
"7515 Braun Court, Arvada, CO 80005","$625,000 ",https://www.zillow.com/homedetails/7515-Braun-Ct-Arvada-CO-80005/13698950_zpid/,3D Tour From 2023-08-23,"4 bds3 ba2,267 sqft"
"Boston Plan, Urban Collection at Haskins Station","$525,950+",https://www.zillow.com/community/urban-collection-at-haskins-station/2065697858_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba1,430 sqft"
