Address,Price,Links,Dates,Details
"24586 E Calhoun Place Unit C, Aurora, CO 80016","$429,900 ",https://www.zillow.com/homedetails/24586-E-Calhoun-Pl-UNIT-C-Aurora-CO-80016/89849079_zpid/,20 minutes ago From 2023-08-23,"2 bds2 ba1,561 sqft"
"4812 S Picadilly Court, Aurora, CO 80015","$585,000 ",https://www.zillow.com/homedetails/4812-S-Picadilly-Ct-Aurora-CO-80015/99630655_zpid/,21 minutes ago From 2023-08-23,"4 bds4 ba2,624 sqft"
"1764 S Pitkin Circle Unit A, Aurora, CO 80017","$199,900 ",https://www.zillow.com/homedetails/1764-S-Pitkin-Cir-UNIT-A-Aurora-CO-80017/13073764_zpid/,1 hour ago From 2023-08-23,1 bd1 ba738 sqft
"7170 S Wenatchee Way Unit G, Aurora, CO 80016","$399,000 ",https://www.zillow.com/homedetails/7170-S-Wenatchee-Way-G-Aurora-CO-80016/61197795_zpid/,2 hours ago From 2023-08-23,"2 bds2 ba1,144 sqft"
"27874 E Indore Drive, Aurora, CO 80016","$824,990 ",https://www.zillow.com/homedetails/27874-E-Indore-Dr-Aurora-CO-80016/338356092_zpid/,3D Tour From 2023-08-23,"4 bds3 ba4,154 sqft"
,,,,
"7367 S White Crow Way, Aurora, CO 80016","$709,990 ",https://www.zillow.com/homedetails/7367-S-White-Crow-Way-Aurora-CO-80016/338356122_zpid/,3 hours ago From 2023-08-23,"3 bds3 ba3,640 sqft"
"72 S Uriah Street, Aurora, CO 80018","$602,950 ",https://www.zillow.com/homedetails/72-S-Uriah-St-Aurora-CO-80016/2055880170_zpid/,3 hours ago From 2023-08-23,"4 bds3 ba1,964 sqft"
"7377 S White Crow Way, Aurora, CO 80016","$699,990 ",https://www.zillow.com/homedetails/7377-S-White-Crow-Way-Aurora-CO-80016/338355929_zpid/,3 hours ago From 2023-08-23,"3 bds2 ba3,460 sqft"
"15894 Hamilton Place, Aurora, CO 80013","$495,000 ",https://www.zillow.com/homedetails/15894-E-Hamilton-Pl-Aurora-CO-80013/13085392_zpid/,4 hours ago From 2023-08-23,"4 bds-- ba2,040 sqft"
"1418 S Bahama Street, Aurora, CO 80017","$470,000 ",https://www.zillow.com/homedetails/1418-S-Bahama-St-Aurora-CO-80017/13075118_zpid/,On market Aug 25 From 2023-08-23,"3 bds2 ba1,192 sqft"
"2235 S Nile Court, Aurora, CO 80014","$500,000 ",https://www.zillow.com/homedetails/2235-S-Nile-Ct-Aurora-CO-80014/13053172_zpid/,5 hours ago From 2023-08-23,"2 bds3 ba2,044 sqft"
"726 Troy Court, Aurora, CO 80011","$479,900 ",https://www.zillow.com/homedetails/726-Troy-Ct-Aurora-CO-80011/13033211_zpid/,5 hours ago From 2023-08-23,"4 bds3 ba1,861 sqft"
"19011 Montview Boulevard, Aurora, CO 80011","$460,000 ",https://www.zillow.com/homedetails/19011-Montview-Blvd-Aurora-CO-80011/13012463_zpid/,On market Aug 26 From 2023-08-23,"4 bds3 ba2,040 sqft"
"531 N Jackson Gap Way, Aurora, CO 80018","$680,000 ",https://www.zillow.com/homedetails/531-N-Jackson-Gap-Way-Aurora-CO-80018/99653306_zpid/,13 hours ago From 2023-08-23,"6 bds5 ba3,451 sqft"
"19961 E Purdue Place, Aurora, CO 80013","$490,000 ",https://www.zillow.com/homedetails/19961-E-Purdue-Pl-Aurora-CO-80013/13095030_zpid/,Open: Sat. 1-3pm From 2023-08-23,"3 bds2 ba1,675 sqft"
"10001 E Evans Avenue Unit 76c, Denver, CO 80247","$315,000 ",https://www.zillow.com/homedetails/10001-E-Evans-Ave-APT-76C-Denver-CO-80247/13054873_zpid/,On market Aug 25 From 2023-08-23,2 bds2 ba968 sqft
"20540 E Coolidge Place, Aurora, CO 80011","$450,000 ",https://www.zillow.com/homedetails/20540-E-Coolidge-Pl-Aurora-CO-80011/13013720_zpid/,3D Tour From 2023-08-23,"4 bds2 ba1,380 sqft"
,,,,
"16086 E Eldorado Place, Aurora, CO 80013","$475,000 ",https://www.zillow.com/homedetails/16086-E-Eldorado-Pl-Aurora-CO-80013/13085005_zpid/,On market Aug 24 From 2023-08-23,"4 bds2 ba2,116 sqft"
"5124 Williams Fork Trail UNIT 106, Boulder, CO 80301","$385,000 ",https://www.zillow.com/homedetails/5124-Williams-Fork-Trl-APT-106-Boulder-CO-80301/13227680_zpid/,20 hours ago From 2023-08-23,"2 bds2 ba1,256 sqft"
"24306 E Ohio Drive, Aurora, CO 80018","$675,000 ",https://www.zillow.com/homedetails/24306-E-Ohio-Dr-Aurora-CO-80017/2055896842_zpid/,3D Tour From 2023-08-23,"4 bds4 ba3,499 sqft"
"Residence Three Plan, Berkeley Homes at Painted Prairie","$609,900+",https://www.zillow.com/community/berkeley-homes-at-painted-prairie/2061225367_zpid/,Open: M: 1:00 PM-5:00 P... From 2023-08-23,"3 bds3 ba2,165 sqft"
"15167 E Nassau Avenue, Aurora, CO 80014","$525,000 ",https://www.zillow.com/homedetails/15167-E-Nassau-Ave-Aurora-CO-80014/13102579_zpid/,On market Aug 24 From 2023-08-23,"3 bds3 ba2,462 sqft"
"4787 S Salida Court, Aurora, CO 80015","$450,000 ",https://www.zillow.com/homedetails/4787-S-Salida-Ct-Aurora-CO-80015/13107866_zpid/,22 hours ago From 2023-08-23,"4 bds2 ba1,278 sqft"
"11232 E Highline Drive, Aurora, CO 80010","$1,030,000 ",https://www.zillow.com/homedetails/11232-E-Highline-Dr-Aurora-CO-80010/13038436_zpid/,22 hours ago From 2023-08-23,"10 bds6 ba4,800 sqft"
"3235 S Bahama Street, Aurora, CO 80013","$435,000 ",https://www.zillow.com/homedetails/3235-S-Bahama-St-Aurora-CO-80013/13089097_zpid/,23 hours ago From 2023-08-23,"4 bds3 ba2,856 sqft"
"1970 S Xanadu Way Unit 104, Aurora, CO 80014","$181,000 ",https://www.zillow.com/homedetails/1970-S-Xanadu-Way-APT-104-Aurora-CO-80014/13050732_zpid/,23 hours ago From 2023-08-23,1 bd1 ba588 sqft
"15333 E Temple Place, Aurora, CO 80015","$308,000 ",https://www.zillow.com/homedetails/15333-E-Temple-Pl-Aurora-CO-80015/13106031_zpid/,Open: Sat. 11am-1pm From 2023-08-23,"2 bds2 ba1,164 sqft"
"4460 S Pitkin Street Unit 125, Aurora, CO 80015","$329,000 ",https://www.zillow.com/homedetails/4460-S-Pitkin-St-UNIT-125-Aurora-CO-80015/13107452_zpid/,On market Aug 25 From 2023-08-23,"2 bds2 ba1,040 sqft"
"22542 E Del Norte Drive, Aurora, CO 80016","$635,000 ",https://www.zillow.com/homedetails/22542-E-Del-Norte-Dr-Aurora-CO-80016/245220009_zpid/,3D Tour From 2023-08-23,"2 bds2 ba1,601 sqft"
"8256 S Ireland Way, Aurora, CO 80016","$1,489,000 ",https://www.zillow.com/homedetails/8256-S-Ireland-Way-Aurora-CO-80016/67445349_zpid/,3D Tour From 2023-08-23,"4 bds5 ba4,536 sqft"
