Address,Price,Links,Dates,Details,City
"24586 E Calhoun Place Unit C, Aurora, CO 80016","$429,900 ",https://www.zillow.com/homedetails/24586-E-Calhoun-Pl-UNIT-C-Aurora-CO-80016/89849079_zpid/,20 minutes ago From 2023-08-23,"2 bds2 ba1,561 sqft",Aurora
"4812 S Picadilly Court, Aurora, CO 80015","$585,000 ",https://www.zillow.com/homedetails/4812-S-Picadilly-Ct-Aurora-CO-80015/99630655_zpid/,21 minutes ago From 2023-08-23,"4 bds4 ba2,624 sqft",Aurora
"1764 S Pitkin Circle Unit A, Aurora, CO 80017","$199,900 ",https://www.zillow.com/homedetails/1764-S-Pitkin-Cir-UNIT-A-Aurora-CO-80017/13073764_zpid/,1 hour ago From 2023-08-23,1 bd1 ba738 sqft,Aurora
"7170 S Wenatchee Way Unit G, Aurora, CO 80016","$399,000 ",https://www.zillow.com/homedetails/7170-S-Wenatchee-Way-G-Aurora-CO-80016/61197795_zpid/,2 hours ago From 2023-08-23,"2 bds2 ba1,144 sqft",Aurora
"27874 E Indore Drive, Aurora, CO 80016","$824,990 ",https://www.zillow.com/homedetails/27874-E-Indore-Dr-Aurora-CO-80016/338356092_zpid/,3D Tour From 2023-08-23,"4 bds3 ba4,154 sqft",Aurora
,,,,,Aurora
"7367 S White Crow Way, Aurora, CO 80016","$709,990 ",https://www.zillow.com/homedetails/7367-S-White-Crow-Way-Aurora-CO-80016/338356122_zpid/,3 hours ago From 2023-08-23,"3 bds3 ba3,640 sqft",Aurora
"72 S Uriah Street, Aurora, CO 80018","$602,950 ",https://www.zillow.com/homedetails/72-S-Uriah-St-Aurora-CO-80016/2055880170_zpid/,3 hours ago From 2023-08-23,"4 bds3 ba1,964 sqft",Aurora
"7377 S White Crow Way, Aurora, CO 80016","$699,990 ",https://www.zillow.com/homedetails/7377-S-White-Crow-Way-Aurora-CO-80016/338355929_zpid/,3 hours ago From 2023-08-23,"3 bds2 ba3,460 sqft",Aurora
"15894 Hamilton Place, Aurora, CO 80013","$495,000 ",https://www.zillow.com/homedetails/15894-E-Hamilton-Pl-Aurora-CO-80013/13085392_zpid/,4 hours ago From 2023-08-23,"4 bds-- ba2,040 sqft",Aurora
"1418 S Bahama Street, Aurora, CO 80017","$470,000 ",https://www.zillow.com/homedetails/1418-S-Bahama-St-Aurora-CO-80017/13075118_zpid/,On market Aug 25 From 2023-08-23,"3 bds2 ba1,192 sqft",Aurora
"2235 S Nile Court, Aurora, CO 80014","$500,000 ",https://www.zillow.com/homedetails/2235-S-Nile-Ct-Aurora-CO-80014/13053172_zpid/,5 hours ago From 2023-08-23,"2 bds3 ba2,044 sqft",Aurora
"726 Troy Court, Aurora, CO 80011","$479,900 ",https://www.zillow.com/homedetails/726-Troy-Ct-Aurora-CO-80011/13033211_zpid/,5 hours ago From 2023-08-23,"4 bds3 ba1,861 sqft",Aurora
"19011 Montview Boulevard, Aurora, CO 80011","$460,000 ",https://www.zillow.com/homedetails/19011-Montview-Blvd-Aurora-CO-80011/13012463_zpid/,On market Aug 26 From 2023-08-23,"4 bds3 ba2,040 sqft",Aurora
"531 N Jackson Gap Way, Aurora, CO 80018","$680,000 ",https://www.zillow.com/homedetails/531-N-Jackson-Gap-Way-Aurora-CO-80018/99653306_zpid/,13 hours ago From 2023-08-23,"6 bds5 ba3,451 sqft",Aurora
"19961 E Purdue Place, Aurora, CO 80013","$490,000 ",https://www.zillow.com/homedetails/19961-E-Purdue-Pl-Aurora-CO-80013/13095030_zpid/,Open: Sat. 1-3pm From 2023-08-23,"3 bds2 ba1,675 sqft",Aurora
"10001 E Evans Avenue Unit 76c, Denver, CO 80247","$315,000 ",https://www.zillow.com/homedetails/10001-E-Evans-Ave-APT-76C-Denver-CO-80247/13054873_zpid/,On market Aug 25 From 2023-08-23,2 bds2 ba968 sqft,Aurora
"20540 E Coolidge Place, Aurora, CO 80011","$450,000 ",https://www.zillow.com/homedetails/20540-E-Coolidge-Pl-Aurora-CO-80011/13013720_zpid/,3D Tour From 2023-08-23,"4 bds2 ba1,380 sqft",Aurora
,,,,,Aurora
"16086 E Eldorado Place, Aurora, CO 80013","$475,000 ",https://www.zillow.com/homedetails/16086-E-Eldorado-Pl-Aurora-CO-80013/13085005_zpid/,On market Aug 24 From 2023-08-23,"4 bds2 ba2,116 sqft",Aurora
"5124 Williams Fork Trail UNIT 106, Boulder, CO 80301","$385,000 ",https://www.zillow.com/homedetails/5124-Williams-Fork-Trl-APT-106-Boulder-CO-80301/13227680_zpid/,20 hours ago From 2023-08-23,"2 bds2 ba1,256 sqft",Aurora
"24306 E Ohio Drive, Aurora, CO 80018","$675,000 ",https://www.zillow.com/homedetails/24306-E-Ohio-Dr-Aurora-CO-80017/2055896842_zpid/,3D Tour From 2023-08-23,"4 bds4 ba3,499 sqft",Aurora
"Residence Three Plan, Berkeley Homes at Painted Prairie","$609,900+",https://www.zillow.com/community/berkeley-homes-at-painted-prairie/2061225367_zpid/,Open: M: 1:00 PM-5:00 P... From 2023-08-23,"3 bds3 ba2,165 sqft",Aurora
