Address,Price,Links,Dates,Details
"12470 W Ellsworth Place, Lakewood, CO 80228","$565,000 ",https://www.zillow.com/homedetails/12470-W-Ellsworth-Pl-Lakewood-CO-80228/13766491_zpid/,Open: Sat. 1-4pm From 2023-08-23,"3 bds2 ba2,801 sqft"
"3596 S Depew Street Unit 7, Lakewood, CO 80235","$410,000 ",https://www.zillow.com/homedetails/3596-S-Depew-St-UNIT-7-Lakewood-CO-80235/13806899_zpid/,3 hours ago From 2023-08-23,"3 bds3 ba1,796 sqft"
"101 S Upham Court, Lakewood, CO 80226","$565,000 ",https://www.zillow.com/homedetails/101-S-Upham-Ct-Lakewood-CO-80226/13768751_zpid/,4 hours ago From 2023-08-23,"3 bds4 ba2,698 sqft"
"6696 W Arizona Avenue, Lakewood, CO 80232","$539,000 ",https://www.zillow.com/homedetails/6696-W-Arizona-Ave-Lakewood-CO-80232/13786360_zpid/,On market Aug 24 From 2023-08-23,"4 bds3 ba2,236 sqft"
"3334 S Ammons Street Unit 13-204, Lakewood, CO 80227","$364,900 ",https://www.zillow.com/homedetails/3334-S-Ammons-St-APT-13-204-Lakewood-CO-80227/13798588_zpid/,On market Aug 24 From 2023-08-23,"2 bds2 ba1,100 sqft"
"745 Arbutus Street, Lakewood, CO 80401","$935,000 ",https://www.zillow.com/homedetails/745-Arbutus-St-Lakewood-CO-80401/13764206_zpid/,23 hours ago From 2023-08-23,"3 bds3 ba4,780 sqft"
"1723 Robb Street Unit 30, Lakewood, CO 80215","$257,000 ",https://www.zillow.com/homedetails/1723-Robb-St-APT-30-Lakewood-CO-80215/13746101_zpid/,1 day on Zillow From 2023-08-23,2 bds2 ba800 sqft
"1535 Eaton Street, Lakewood, CO 80214","$1,650,000 ",https://www.zillow.com/homedetails/1535-Eaton-St-Denver-CO-80214/130439427_zpid/,1 day on Zillow From 2023-08-23,0.32 acres lot
"2405 Lee Street, Lakewood, CO 80215","$599,000 ",https://www.zillow.com/homedetails/2405-Lee-St-Lakewood-CO-80215/13745348_zpid/,On market Aug 25 From 2023-08-23,"2 bds2 ba1,060 sqft"
"2045 Lee Street, Lakewood, CO 80215","$850,000 ",https://www.zillow.com/homedetails/2045-Lee-St-Lakewood-CO-80215/13745404_zpid/,1 day on Zillow From 2023-08-23,"3 bds2 ba3,585 sqft"
"15480 W Asbury Avenue, Lakewood, CO 80228","$1,979,000 ",https://www.zillow.com/homedetails/15480-W-Asbury-Ave-Lakewood-CO-80228/121927280_zpid/,3D Tour From 2023-08-23,"4 bds6 ba5,665 sqft"
"1591 S Sheridan Boulevard, Lakewood, CO 80232","$395,000 ",https://www.zillow.com/homedetails/1591-S-Sheridan-Blvd-Lakewood-CO-80232/13786912_zpid/,1 day on Zillow From 2023-08-23,"2 bds2 ba1,436 sqft"
"35 S Harlan St S, Lakewood, CO 80226","$435,000 ",https://www.zillow.com/homedetails/35-S-Harlan-St-Lakewood-CO-80226/13769570_zpid/,1 day on Zillow From 2023-08-23,"2 bds1 ba1,788 sqft"
"1769 S Quail Street, Lakewood, CO 80232","$875,000 ",https://www.zillow.com/homedetails/1769-S-Quail-St-Lakewood-CO-80232/13781057_zpid/,Open: Sat. 12am-2pm From 2023-08-23,"4 bds4 ba3,238 sqft"
"1141 S Welch Circle, Lakewood, CO 80228","$803,000 ",https://www.zillow.com/homedetails/1141-S-Welch-Cir-Lakewood-CO-80228/13778982_zpid/,2 days on Zillow From 2023-08-23,"4 bds3 ba3,200 sqft"
"6725 W Mississippi Avenue, Lakewood, CO 80226","$75,000 ",https://www.zillow.com/homedetails/6725-W-Mississippi-Ave-Lakewood-CO-80226/13771291_zpid/,2 days on Zillow From 2023-08-23,2 bds1 ba672 sqft
"1260 Welch Street, Lakewood, CO 80401","$719,000 ",https://www.zillow.com/homedetails/1260-Welch-St-Lakewood-CO-80401/13762813_zpid/,Open: Sat. 11am-1pm From 2023-08-23,"3 bds2 ba2,100 sqft"
"7385 W Oregon Drive, Lakewood, CO 80232","$399,000 ",https://www.zillow.com/homedetails/7385-W-Oregon-Dr-Lakewood-CO-80232/13784867_zpid/,2 days on Zillow From 2023-08-23,"3 bds2 ba2,066 sqft"
"10950 W Glennon Drive, Lakewood, CO 80226","$600,000 ",https://www.zillow.com/homedetails/10950-Glennon-Dr-Denver-CO-80226/13774236_zpid/,2 days on Zillow From 2023-08-23,"4 bds2 ba1,926 sqft"
"1845 Kendall Street Unit 231, Lakewood, CO 80214","$299,950 ",https://www.zillow.com/homedetails/1845-Kendall-St-APT-231-Lakewood-CO-80214/13749770_zpid/,3 days on Zillow From 2023-08-23,2 bds1 ba746 sqft
"370 Zang Street Unit 7-103, Lakewood, CO 80228","$315,000 ",https://www.zillow.com/homedetails/370-Zang-St-APT-7-103-Lakewood-CO-80228/13765716_zpid/,4 days on Zillow From 2023-08-23,1 bd1 ba812 sqft
"1479 S Iris Street, Lakewood, CO 80232","$572,500 ",https://www.zillow.com/homedetails/1479-S-Iris-St-Lakewood-CO-80232/13782459_zpid/,On market Aug 24 From 2023-08-23,"4 bds3 ba2,091 sqft"
"3600 S Pierce Street Unit 4-103, Lakewood, CO 80235","$319,900 ",https://www.zillow.com/homedetails/3600-S-Pierce-St-APT-4-103-Lakewood-CO-80235/13807056_zpid/,4 days on Zillow From 2023-08-23,"2 bds2 ba1,024 sqft"
"750 Tabor Street Unit 47, Lakewood, CO 80401","$410,000 ",https://www.zillow.com/homedetails/750-Tabor-St-APT-47-Golden-CO-80401/13763796_zpid/,4 days on Zillow From 2023-08-23,"2 bds3 ba1,997 sqft"
