Address,Price,Links,Dates,Details
"7043 S Webster Street, Littleton, CO 80128","$350,000 ",https://www.zillow.com/homedetails/7043-S-Webster-St-Littleton-CO-80128/13824798_zpid/,On market Aug 25 From 2023-08-23,"2 bds2 ba1,253 sqft"
"8229 Snake River Street, Littleton, CO 80125","$687,950 ",https://www.zillow.com/homedetails/8229-Snake-River-St-Littleton-CO-80125/2055895412_zpid/,1 day on Zillow From 2023-08-23,"3 bds3 ba2,297 sqft"
"8266 Vona Lane, Littleton, CO 80125","$687,950 ",https://www.zillow.com/homedetails/8266-Vona-Ln-Littleton-CO-80125/2055895413_zpid/,1 day on Zillow From 2023-08-23,"4 bds3 ba2,043 sqft"
"8096 Snake River Street, Littleton, CO 80125","$883,950 ",https://www.zillow.com/homedetails/8096-Snake-River-St-Littleton-CO-80125/2055895435_zpid/,1 day on Zillow From 2023-08-23,"5 bds3 ba3,877 sqft"
"8248 Vona Lane, Littleton, CO 80125","$652,950 ",https://www.zillow.com/homedetails/8248-Vona-Ln-Littleton-CO-80125/2055895436_zpid/,1 day on Zillow From 2023-08-23,"4 bds2 ba1,747 sqft"
"Abbot Plan, Sterling Ranch : Monarch Collection Prospect Village II","$726,900+",https://www.zillow.com/community/sterling-ranch-monarch-collection-prospect-village-ii/2063216846_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba1,851 sqft"
"3076 W Prentice Avenue Unit C, Littleton, CO 80123","$439,000 ",https://www.zillow.com/homedetails/3076-W-Prentice-Ave-UNIT-C-Littleton-CO-80123/13153077_zpid/,Open: Sat. 11am-1pm From 2023-08-23,"2 bds2 ba1,140 sqft"
"Snowmass Plan, Sterling Ranch : Pioneer Collection Prospect Village II","$655,900+",https://www.zillow.com/community/sterling-ranch-pioneer-collection-prospect-village-ii/2063216859_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba1,414 sqft"
"7518 Raphael Lane, Littleton, CO 80125","$3,250,000 ",https://www.zillow.com/homedetails/7518-Raphael-Ln-Littleton-CO-80125/108383645_zpid/,1 day on Zillow From 2023-08-23,"5 bds7 ba5,976 sqft"
"9506 S Everett Way, Littleton, CO 80127","$1,395,000 ",https://www.zillow.com/homedetails/9506-S-Everett-Way-Littleton-CO-80127/13844578_zpid/,Open: Sun. 11am-2pm From 2023-08-23,"6 bds3 ba5,413 sqft"
"7394 S Alkire Street Unit 305, Littleton, CO 80127","$350,000 ",https://www.zillow.com/homedetails/7394-S-Alkire-St-APT-305-Littleton-CO-80127/13829921_zpid/,2 days on Zillow From 2023-08-23,2 bds2 ba993 sqft
"Kingsley Plan, Sterling Ranch : Monarch Collection Prospect Village II","$759,900+",https://www.zillow.com/community/sterling-ranch-monarch-collection-prospect-village-ii/2063216854_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds3 ba2,166 sqft"
"9962 W Victoria Place Unit 301, Littleton, CO 80127","$449,990 ",https://www.zillow.com/homedetails/9962-W-Victoria-Pl-UNIT-301-Littleton-CO-80127/2056001928_zpid/,3D Tour From 2023-08-23,2 bds2 ba884 sqft
"8251 Snake River Street, Littleton, CO 80125","$652,950 ",https://www.zillow.com/homedetails/8251-Snake-River-St-Littleton-CO-80125/2055933993_zpid/,2 days on Zillow From 2023-08-23,"3 bds2 ba1,740 sqft"
"8207 Snake River Street, Littleton, CO 80125","$747,950 ",https://www.zillow.com/homedetails/8207-Snake-River-St-Littleton-CO-80125/2055933994_zpid/,2 days on Zillow From 2023-08-23,"5 bds3 ba2,737 sqft"
"Plan M Plan, Sterling Ranch Townhomes","$566,900+",https://www.zillow.com/community/sterling-ranch-townhomes/2063386995_zpid/,Open: Sun 11am - 6pm;Mo... From 2023-08-23,"3 bds3 ba1,998 sqft"
"Tabor Plan, Sterling Ranch : Pioneer Collection Prospect Village II","$685,900+",https://www.zillow.com/community/sterling-ranch-pioneer-collection-prospect-village-ii/2063216856_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds3 ba1,845 sqft"
"The Ponderosa Plan, Deer Creek","$699,900+",https://www.zillow.com/community/deer-creek/2063324969_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"2 bds2 ba1,618 sqft"
