Address,Price,Links,Dates,Details
"10722 Pierson Street, Westminster, CO 80021","$515,000 ",https://www.zillow.com/homedetails/10722-Pierson-St-Westminster-CO-80021/13681120_zpid/,3D Tour From 2023-08-22,"3 bds2 ba1,335 sqft"
"14635 Pecos Street, Westminster, CO 80023","$1,450,000 ",https://www.zillow.com/homedetails/14635-Pecos-St-Westminster-CO-80023/12950860_zpid/,On market Aug 24 From 2023-08-22,"5 bds5 ba4,238 sqft"
"6711 W 116th Ave, Westminster, CO 80020","$470,000 ",https://www.zillow.com/homedetails/6711-W-116th-Ave-Westminster-CO-80020/13679664_zpid/,6 days on Zillow From 2023-08-22,"3 bds2 ba1,672 sqft"
"4661 W 100th Avenue, Westminster, CO 80031","$750,000 ",https://www.zillow.com/homedetails/4661-W-100th-Ave-Westminster-CO-80031/12978644_zpid/,3 days on Zillow From 2023-08-22,"4 bds3 ba2,994 sqft"
"8102 W 90th Avenue, Westminster, CO 80021","$399,900 ",https://www.zillow.com/homedetails/8102-W-90th-Ave-Westminster-CO-80021/13689872_zpid/,3D Tour From 2023-08-22,"3 bds2 ba1,760 sqft"
"9240 Grove Street, Westminster, CO 80031","$499,900 ",https://www.zillow.com/homedetails/9240-Grove-St-Westminster-CO-80031/12981454_zpid/,3D Tour From 2023-08-22,"5 bds2 ba1,998 sqft"
"12172 Huron St UNIT 208, Westminster, CO 80234","$225,000 ",https://www.zillow.com/homedetails/12172-Huron-St-APT-208-Westminster-CO-80234/12956846_zpid/,3D Tour From 2023-08-22,1 bd1 ba900 sqft
"9162 W 90th Place, Westminster, CO 80021","$600,000 ",https://www.zillow.com/homedetails/9162-W-90th-Pl-Westminster-CO-80021/13688604_zpid/,3D Tour From 2023-08-22,"5 bds3 ba1,968 sqft"
"1404 W 135th Avenue, Westminster, CO 80234","$544,999 ",https://www.zillow.com/homedetails/1404-W-135th-Ave-Westminster-CO-80234/12955402_zpid/,3D Tour From 2023-08-22,"3 bds2 ba1,296 sqft"
"860 W 132nd Lot 202, Westminster, CO 80234","$119,000 ",https://www.zillow.com/homedetails/860-W-132nd-Ave-LOT-202-Westminster-CO-80234/58643571_zpid/,105 days on Zillow From 2023-08-22,"4 bds2 ba1,344 sqft"
"1099 W 133rd Way Unit U, Westminster, CO 80234","$400,000 ",https://www.zillow.com/homedetails/1099-W-133rd-Way-APT-U-Westminster-CO-80234/12955446_zpid/,Open: Sat. 12-3pm From 2023-08-22,"3 bds2 ba1,195 sqft"
"8945 Field Street Unit 74, Westminster, CO 80021","$349,000 ",https://www.zillow.com/homedetails/8945-Field-St-UNIT-74-Westminster-CO-80021/13689015_zpid/,2 days on Zillow From 2023-08-22,"2 bds2 ba1,340 sqft"
"11554 Kendall Street, Westminster, CO 10020","$523,000 ",https://www.zillow.com/homedetails/11554-Kendall-St-Westminster-CO-80020/13679823_zpid/,7 days on Zillow From 2023-08-22,"3 bds2 ba1,636 sqft"
